E B-company
S I-company
A I-company
上 O
诉 O
到 O
美 B-government
国 I-government
第 I-government
九 I-government
巡 I-government
回 I-government
法 I-government
庭 I-government
( O
以 O
“ O
自 O
由 O
开 O
明 O
” O
著 O
称 O
， O
常 O
有 O
出 O
人 O
意 O
料 O
的 O
判 O
例 O
) O
， O
现 O
在 O
很 O
多 O
到 O
天 B-address
津 I-address
旅 O
游 O
的 O
人 O
， O
都 O
喜 O
欢 O
到 O
赤 B-scene
峰 I-scene
道 I-scene
上 O
的 O
“ O
瓷 O
房 O
子 O
” O
参 O
观 O
。 O
这 O
幢 O
法 O
式 O
小 O
洋 O
楼 O
经 O
过 O
张 B-name
连 I-name
志 I-name
六 O
年 O
精 O
心 O
打 O
磨 O
， O
《 B-book
楼 I-book
兰 I-book
》 I-book
2 O
月 O
2 O
日 O
全 O
国 O
上 O
市 O
， O
2 O
月 O
6 O
日 O
在 O
北 B-address
京 I-address
王 I-address
府 I-address
井 I-address
新 I-address
华 I-address
书 I-address
店 I-address
举 O
办 O
签 O
名 O
会 O
， O
入 O
住 O
岛 O
上 O
的 O
酒 O
店 O
需 O
要 O
先 O
看 O
清 O
楚 O
你 O
选 O
择 O
的 O
套 O
餐 O
是 O
否 O
包 O
含 O
珍 B-scene
珠 I-scene
岛 I-scene
乐 I-scene
园 I-scene
门 O
票 O
， O
否 O
则 O
， O
需 O
要 O
另 O
行 O
购 O
买 O
。 O
END O
