奥 B-address
斯 I-address
罗 I-address
布 I-address
原 O
本 O
是 O
一 O
个 O
小 O
渔 O
村 O
， O
前 O
几 O
年 O
开 O
始 O
有 O
野 O
生 O
鲸 O
鲨 O
的 O
出 O
没 O
， O
当 O
地 O
居 O
民 O
也 O
十 O
分 O
爱 O
惜 O
它 O
们 O
， O
M B-name
o I-name
o I-name
n I-name
魔 B-game
兽 I-game
是 O
重 O
心 O
W B-organization
C I-organization
G I-organization
志 O
在 O
冠 O
军 O
从 O
我 O
做 O
设 O
计 O
来 O
说 O
， O
跟 O
王 O
教 B-position
授 I-position
还 O
是 O
有 O
很 O
大 O
的 O
差 O
距 O
， O
更 O
多 O
的 O
是 O
做 O
一 O
些 O
很 O
实 O
际 O
的 O
， O
教 O
授 O
对 O
历 O
史 O
等 O
各 O
方 O
面 O
研 O
究 O
的 O
比 O
较 O
深 O
， O
作 O
为 O
终 O
结 O
， O
而 O
以 O
内 O
地 O
市 O
场 O
为 O
主 O
的 O
《 B-movie
花 I-movie
花 I-movie
型 I-movie
警 I-movie
》 I-movie
， O
结 O
局 O
也 O
是 O
安 O
排 O
了 O
代 O
表 O
着 O
香 O
港 O
的 O
余 B-name
文 I-name
乐 I-name
（ O
听 O
歌 O
） O
的 O
角 O
色 O
的 O
死 O
亡 O
， O
把 O
老 O
百 O
姓 O
的 O
生 O
活 O
管 O
的 O
很 O
好 O
。 O
还 O
有 O
一 O
个 O
徒 B-position
弟 I-position
说 O
我 O
想 O
当 O
宰 B-position
相 I-position
， O
治 O
理 O
国 O
家 O
。 O
END O
